video_id;comment_id;comment;comment_likes
DLikpfc64cA;44;Excelente trabajo. Gracias Estefania Cassigena Navone por tan importante explicación.;0
DLikpfc64cA;45;Se puede utilizar visual estudio code para aprender este curso?;0
DLikpfc64cA;46;Wow  python me encanta ! Es más fácilmente que c++ . Tengo 48 años y estoy estudiando en la universidad y las classes que nos dan de programación  empiezan con c++ . Lo encuentro difícil pero este lenguage de Python es más facil de aprender . La programación es mágica me encanta ! Espero algún día aprenderla cómo tú . Gracias !;0
DLikpfc64cA;47;Les aseguro que no he escuchado a nadie explicar tan claramente como Estefanía. Me siento muy confiado y comprendo muy bien????????;0
DLikpfc64cA;48;Me ha gustado mucho el curso, sale 1 comercial cada 3 minutos es mi única queja pero de resto excelente.;0
DLikpfc64cA;49;Hasta ahora no había encontrado a nadie que explicara también como tú. Un Saludo, Francisco (60 años);0
DLikpfc64cA;50;Srta Estefanía me quito el sombrero, que gran presentación e inigualable explicación.;0
DLikpfc64cA;51;un curso basico muy bien explicado.;0
DLikpfc64cA;52;tienes el pdf de este curso?;0
DLikpfc64cA;53;"Tienen un &quot;Don&quot; para explicar con claridad Gracias por compartir tu conocimiento.";0
DLikpfc64cA;54;Gran trabajo profesora Sthefania, muy básico pero muy bien explicado. Gracias;0
DLikpfc64cA;55;"Con solo leer los comentarios de muchos contemporáneos (&gt;60 años) y, escuchando la introducción de Estefanía, me convencieron de seguir este curso. Gracias por compartir conocimiento.";0
DLikpfc64cA;56;como puedo obtener su presentación me encanto, saludos;0
DLikpfc64cA;57;Mejor es comunicarse con un ser humano no con una maquina.;0
DLikpfc64cA;58;"Yo ya pienso <a href=""http://clarito.no/"">clarito.no</a> necesito eso.";0
DLikpfc64cA;59;"Piton java. Para que sirve.supuestamente para programar.programar <a href=""http://que.es/"">que.es</a> peor qu si me hablan en chino.";0
DLikpfc64cA;60;Me encanta tu voz;0
DLikpfc64cA;61;Hola, agradezco infinitamente que hayas subido este curso de Python.<br>He esperado  durante durante 699 años para aprenderlo<br>He empezado a ver  un sinfin de videos en Youtube y los he descarrtado por confusos.el tuyo es el más claro , lo expones con una simpleza deslumbrante.<br>Tu apellido posiblemente es Lovelace<br>¡Enhorabuena¡ Y muchas gracias por difundir;0
DLikpfc64cA;62;Excelente Video!!! Muy bien explicado detalladamente!!! Saludos desde Perú!!! Que sigan los éxitos y Bendiciones.;0
DLikpfc64cA;63;todo iba bien hasta que llego fibonacci AJAJAJA;0
DLikpfc64cA;64;Yo en les s anos 90 programaba en language maquina,hé creado programas excellent de contabiludad,hé creado diversoven basic,ahorra veremis si soy et an Buenos que zntes;0
DLikpfc64cA;65;Gracias!;0
DLikpfc64cA;66;Gracias por este cursol!!! ??Le sacaré provecho para aprender a programar!!! ????;0
DLikpfc64cA;67;a mi se me concatenan no se suman??;0
DLikpfc64cA;68;como se llama la profe? es para proponerle matrimonio o montarle una empresa, gracias por el curso.;0
DLikpfc64cA;69;Este video tiene 3 años y sigue siendo una de las explicaciones mas claras sobre Python;6
DLikpfc64cA;70;Aces entender ???;0
DLikpfc64cA;71;Excelente curso Estefania tienes un don para explicar de una manera comprensible todos los temas ya hice el de GIT y Github contigo muy bueno;1
DLikpfc64cA;72;Hoy tuve que pasar curso de Python y con este curso me permitió introducirme al mundo Python ?? ya lo que venga es ganancia ?? gracias Stephania por este curso, he visto todos tus cursos y son una maravilla ???;0
DLikpfc64cA;73;en visual estudio no se ejecuta nada ni con el print;0
DLikpfc64cA;74;Gracias muy ameno y bien explicado.;0
DLikpfc64cA;75;"<a href=""https://www.youtube.com/watch?v=DLikpfc64cA&amp;t=15780"">4:23:00</a>";0
DLikpfc64cA;76;hola, como te contacto directamente ?;0
DLikpfc64cA;77;De lo mejor que e encontrado muchas gracias;0
DLikpfc64cA;78;"Hola comunidad desarrolladora; estoy aprendiendo Python en una plataforma, pero estoy atorada con mi penultimo proyecto y no logro encontrar el error de mi código, ya que al “correrlo” me sale código 0, pero mi outcome no coincide con el esperado por la plataforma y no logro acreditar el test y hasta bloqueada estoy… saben de algún foro donde pueda preguntar sobre mi código?";0
DLikpfc64cA;79;Excelente curso y con ejemplos muy prácticos, mil gracias;1
DLikpfc64cA;80;EL MEJOR DE LOS CURSOS, UN ABRAZO GIGANTE DESDE CHILE ????????????MUCHAS GRACIAS;0
DLikpfc64cA;81;Muchas felicidades Stefania por todo lo que ofreces en este proyecto, gracias por compartir tus palabras y conocimientos.;0
DLikpfc64cA;82;"Hola, buenas tardes. En el ejemplo de &#39;else&#39; en el tiempo <a href=""https://www.youtube.com/watch?v=DLikpfc64cA&amp;t=6215"">1:43:35</a> no me reconoce la función &#39;else&#39;. Después del &#39;if&#39; condicional y como la temperatura es mayor que 25 el programa da las dos renglones de espacio y cunado marco &#39;ilse&#39; me da error";0
DLikpfc64cA;83;Puedes trabajar python con mysql??;0
DLikpfc64cA;84;excelente curso de Python, bien explicado,gracias;0
DLikpfc64cA;85;Para aprender phyton se requiere aprender html?;0
DLikpfc64cA;86;Estefania por favor hagan el curso de Django y no pedimos más! Gracias por todo lo que has dado ! ?;0
DLikpfc64cA;87;lo que me encanta de este curso es que no solo menciona otras caracteristicas sino que tambien las explicas como para conocimiento general que en algun momento tambien se podra utilizar y el hecho de que no se explique a profundida no quiere decir que no existan otras funcionalidades de python. De verdad muchas gracias con este curso estoy reafirmando lo que ya vi en otro curso, pero este está super completo tambien;0
DLikpfc64cA;88;Es excelente, explica muy bien! :D;1
DLikpfc64cA;89;"Hola Estefania<br>En primer lugar gracias por darnos este curso de una manera gratuita. Quiero seguirlo, y he seguido los primeros pasos; me he instalado la última versión de Python, la 3.12, y al abrir el idle, donde me debería poner la descripción inicial con algunas características de Python, está en blanco, solo se ve las tres flechitas; si marcas, sin soltar el ratón, esta parte de la descripción si se ve, pero como cuando quieres copiar un texto y pegarlo a otro sitio, al desmarcarlo vuelve a estar en blanco; como ejemplo, he hecho lo que tú haces de sumar 5+5 y la suma no se ve pero al darle al enter sale 10 en azul. No se si se me está entendiendo; he probado con otras versiones de Python, y me ocurre lo mismo. Tengo un ordenador de sobremesa con 9 nucleos, el procesador Intel y tarjeta grafica gforce por si esto pudiera servir para aclarar la solución.<br>                             Por favor, te rogaría, que si me puedes dar una solución, o cualquiera que pueda leer este mensaje, tuviera una solución, se lo agradecería de verdad, pues sino tendré que pensar en buscar otro compilador. A la espera que me puedan dar alguna solución, reciban un cordial saludo de SANTIAGO.";0
DLikpfc64cA;90;Hasta ahorita todo perfecto execelente curso?gracias estef;0
DLikpfc64cA;91;Acabo de empezar el curso de html, y con que dolores de cabeza comence hasta que te encontre, la verdad la mayoria de los programadores no tienen ni pizca de pedagogia, pero tu, tu eres distinta. Voy a inscribirme en la carrera en proximos meses y no quiero llegar en ceros.;0
DLikpfc64cA;92;"No había podido entender el tema de programación orientada a objetos hasta ahora; ¡genial tu explicación!";0
DLikpfc64cA;93;Fue satisfactorio este curso y por fin un lenguaje que me guste en mi carrera, después conocer Java con Eclipse como mi primer lenguaje por el Minecraft. Gracias por el curso ?.;0
DLikpfc64cA;94;"Muchas gracias Estefania´s, se ve el conocimiento que tienes en el programa, enseñas muy bien de forma fácil y sencilla.<a href=""UCkszU2WH9gy1mb0dV-11UJg/JAJ1XpGpJYnW8wTupZu4Cw""></a>";1
DLikpfc64cA;95;Ay amiga dónde estudiaste. Explicas muy bien, es justo lo que buscamos, porque a otros la verdad no sé que hacen en sus videos no se les entiende y más se les ve su cara ??;1
DLikpfc64cA;96;Exelente. Me quedo por aqui.;1
DLikpfc64cA;97;Mucha gracia, con 15 años quise aprender a programar y espero aprenda con este curso gracias. Y claro seguir en otros lenjuajes;2
DLikpfc64cA;98;Este fue el mejor curso de Python que encontré gracias muy entendible y muy buena explicación muy sencilla y fácil de entender me gustaría una segunda parte ahora de curso avanzado de Python;1
DLikpfc64cA;99;Muy buen trabajo y gracias por tu ayuda y esfuerzo;1
DLikpfc64cA;100;simplemente excepcional, una clase que cualquier persona puede entender con facilidad, eres pedagoga innata !! el mayor de los éxitos para usted;1
