id;channel;title_video;tags;description;views;likes;comment_count;duration
eWRfhZUzrAc;freeCodeCamp.org;Python for Beginners – Full Course [Programming Tutorial];;Learn the Python programming language in this full course for beginners! You will learn the fundamentals of Python and code two Python programs line-by-line. No previous programming experience is necessary before watching this course.;3078696;62138;1285;PT4H40M
DLikpfc64cA;freeCodeCamp Español;Aprende Python - Curso de Python desde Cero;#python #programación #curso #tutorial;Una introducción a Python con preguntas rápidas para ayudarte en el lapso del curso.;1583731;50124;1318;PT4H36M43S
